THE RABBIT'S BRIDE
SIX SOLDIERS OF FORTUNE
CLEVER GRETEL
THE DEATH OF THE HEN
HANS IN LUCK
THE GOOSE-GIRL
THE RAVEN
THE FROG-PRINCE
CAT AND MOUSE IN PARTNERSHIP
THE WOLF AND THE SEVEN KIDS
FAITHFUL JOHN
THE STRANGE MUSICIAN
THE TWELVE BROTHERS
THE VAGABONDS
LITTLE BROTHER AND LITTLE SISTER
RAPUNZEL
THE THREE LITTLE MEN IN THE WOOD
THE THREE SPINSTERS
HANSEL AND GRETEL
THE WHITE SNAKE
"THE STRAW, THE COAL, AND THE BEAN"
THE FISHERMAN AND HIS WIFE
THE BRAVE LITTLE TAILOR
ASHPUTTEL
"THE MOUSE, THE BIRD, AND THE SAUSAGE"
MOTHER HOLLE
LITTLE RED-CAP
THE BREMEN TOWN MUSICIANS
CLEVER HANS
CLEVER ELSIE
"THE WISHING-TABLE, THE GOLD-ASS, AND THE CUDGEL IN THE SACK"
THUMBLING
THE WEDDING OF MRS. FOX
THE ELVES
THE ROBBER BRIDEGROOM
MR. KORBES
THUMBLING AS JOURNEYMAN
THE ALMOND TREE
OLD SULTAN
THE SIX SWANS
THE SLEEPING BEAUTY
KING GRISLY-BEARD
SNOWDROP
"THE KNAPSACK, THE HAT, AND THE HORN"
RUMPELSTILTSKIN
SWEETHEART ROLAND
THE GOLDEN BIRD
THE DOG AND THE SPARROW
FREDERICK AND CATHERINE
THE LITTLE FARMER
THE QUEEN BEE
THE GOLDEN GOOSE
